K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   1
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547339 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547340 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547341 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547342 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547343 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547344 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547345 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547346 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547347 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547348 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547349 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547350 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547351 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547352 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547353 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547354 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547355 05-07-20 001049                                     0.24  10-06-0230                       0000864768
                   001021 60     ACBBOT                       0.24- 10-06-0230                       0000864768
000547378 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
